Ticker,Entry Time,Entry Price,Entry Method,Exit Time,Exit Price,Exit Type,Net,Return %,Option Net ($),Hold_Time
HLT,2024-02-08 16:30:00,193.69,reclaim,2024-02-09 16:15:00,192.59,stop,-1.1,-0.005679178068046853,-56.79178068046853,0.9895833333333334
WM,2024-02-09 17:30:00,188.2,reclaim,2024-02-12 18:30:00,187.65,stop,-0.55,-0.0029224229543038938,-29.224229543038938,3.0416666666666665
ETN,2024-02-13 15:15:00,268.55,reclaim,2024-02-22 14:30:00,283.85,take_profit,15.3,0.05697263079501025,569.7263079501025,8.96875
GPN,2024-02-13 16:15:00,136.23,reclaim,2024-02-13 19:00:00,135.16,stop,-1.07,-0.007854363943331055,-78.54363943331055,0.11458333333333333
TRV,2024-02-13 17:15:00,213.47,reclaim,2024-02-22 18:30:00,222.02,take_profit,8.55,0.04005246638871984,400.5246638871984,9.052083333333334
GM,2024-03-05 17:00:00,40.38,reclaim,2024-03-06 15:30:00,40.02,stop,-0.36,-0.008915304606240682,-89.15304606240682,0.9375
MAS,2024-03-06 20:45:00,76.43,reclaim,2024-03-11 13:30:00,76.08,stop,-0.36,-0.004579353656941065,-45.793536569410655,4.697916666666667
PCAR,2024-03-11 15:00:00,113.19,reclaim,2024-03-15 13:30:00,118.27,take_profit,5.08,0.04488028977824898,448.8028977824898,3.9375
LBRT,2024-03-12 13:45:00,21.34,reclaim,2024-03-13 15:45:00,21.05,stop,-0.29,-0.013589503280224902,-135.895032802249,1.0833333333333333
ORLY,2024-03-26 13:45:00,75.6,reclaim,2024-03-26 14:45:00,75.21,stop,-0.39,-0.00515873015873014,-51.587301587301404,0.041666666666666664
RCL,2024-04-02 13:45:00,136.62,reclaim,2024-04-04 19:15:00,135.51,stop,-1.12,-0.00812472551602994,-81.2472551602994,2.2291666666666665
FTI,2024-04-09 15:00:00,26.14,reclaim,2024-04-10 17:45:00,27.23,take_profit,1.09,0.04169854628921188,416.9854628921188,1.1145833333333333
DE,2024-04-10 13:45:00,407.91,reclaim,2024-04-12 13:45:00,406.87,stop,-1.04,-0.0025495820156407056,-25.495820156407056,2.0
RCL,2024-05-14 14:45:00,140.69,reclaim,2024-05-15 13:45:00,139.2,stop,-1.49,-0.01059066031700906,-105.90660317009059,0.9583333333333334
FLR,2024-06-14 14:15:00,44.25,reclaim,2024-06-21 13:30:00,44.12,stop,-0.13,-0.0029378531073447345,-29.378531073447345,6.96875
FLR,2024-06-21 17:00:00,44.63,reclaim,2024-06-25 13:30:00,44.34,stop,-0.29,-0.006497871386959453,-64.97871386959453,3.8541666666666665
IRM,2024-06-21 15:00:00,87.49,reclaim,2024-07-01 20:00:00,89.69,max_hold_exit,2.2,0.025145730940679067,251.45730940679067,10.208333333333334
MSFT,2024-06-28 20:00:00,448.0,reclaim,2024-07-05 13:45:00,466.04,take_profit,18.04,0.04026785714285719,402.6785714285719,6.739583333333333
AMCR,2024-08-02 14:45:00,51.95,reclaim,2024-08-05 13:45:00,51.1,stop,-0.85,-0.016361886429258954,-163.61886429258954,2.9583333333333335
CCI,2024-08-08 13:45:00,110.97,reclaim,2024-08-09 16:00:00,110.12,stop,-0.85,-0.007659727854374965,-76.59727854374965,1.09375
NEM,2024-09-03 16:45:00,52.13,reclaim,2024-09-04 13:30:00,51.32,stop,-0.81,-0.015538077882217616,-155.38077882217615,0.8645833333333334
CMS,2024-09-05 15:15:00,67.91,reclaim,2024-09-13 20:00:00,70.09,max_hold_exit,2.18,0.03210131055809162,321.0131055809162,8.197916666666666
IBM,2024-09-06 15:15:00,200.76,reclaim,2024-09-11 18:30:00,208.89,take_profit,8.13,0.04049611476389714,404.9611476389714,5.135416666666667
UDR,2024-09-06 19:45:00,44.05,reclaim,2024-09-11 15:30:00,45.84,take_profit,1.79,0.04063564131668573,406.35641316685735,4.822916666666667
BRX,2024-09-09 13:45:00,27.16,reclaim,2024-09-11 13:30:00,26.99,stop,-0.17,-0.006259204712813049,-62.59204712813049,1.9895833333333333
ES,2024-09-11 19:15:00,67.62,reclaim,2024-09-12 14:45:00,67.26,stop,-0.36,-0.0053238686779059075,-53.23868677905907,0.8125
IBM,2024-09-19 15:45:00,211.33,reclaim,2024-09-23 15:15:00,219.81,take_profit,8.48,0.0401268158803767,401.268158803767,3.9791666666666665
DASH,2024-10-15 14:45:00,146.0,reclaim,2024-10-18 13:30:00,152.23,take_profit,6.23,0.04267123287671226,426.71232876712264,2.9479166666666665
VRT,2024-10-15 15:00:00,107.92,reclaim,2024-10-16 18:30:00,112.42,take_profit,4.5,0.041697553743513804,416.97553743513805,1.1458333333333333
ETN,2024-10-23 16:45:00,343.65,reclaim,2024-10-23 18:00:00,340.98,stop,-2.67,-0.007769532955041347,-77.69532955041348,0.052083333333333336
ETN,2024-10-24 14:30:00,344.42,reclaim,2024-10-29 13:30:00,340.43,stop,-3.99,-0.011584693107252853,-115.84693107252852,4.958333333333333
TRGP,2024-10-25 17:45:00,164.28,reclaim,2024-10-28 13:30:00,162.8,stop,-1.48,-0.009009009009008917,-90.09009009008918,2.8229166666666665
